ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
25.29,12.64,54.89,6.61,0.57
25.97,11.95,55.58,6.49,0.0
25.88,12.13,54.99,7.01,0.0
25.22,12.75,54.78,6.67,0.58
27.32,11.34,54.64,6.7,0.0
24.93,12.61,55.01,6.88,0.57
24.86,12.72,54.91,6.94,0.58
25.0,12.36,55.34,7.02,0.28
24.49,13.12,55.1,6.71,0.58
24.43,12.93,55.17,6.9,0.57
24.65,12.46,55.81,6.52,0.57
24.5,13.26,55.04,6.63,0.58
24.73,12.09,56.04,6.59,0.55
25.57,12.78,54.55,7.1,0.0
24.58,12.01,56.15,6.98,0.28
25.25,11.52,53.92,8.58,0.74
25.59,12.79,54.31,7.31,0.0
26.42,12.13,54.45,7.01,0.0
25.27,11.81,56.32,6.32,0.27
26.61,13.17,54.57,5.65,0.0
25.83,15.28,51.39,6.67,0.83
26.1,11.09,55.43,7.16,0.23
